title,registration_number,objective
Let me vote,2013/000003,"To strengthen the rights listed in article 20§2 TFEU by granting EU citizens residing in another Member State the right to vote in all political elections in their country of residence, on the same conditions as the nationals of that State.
               
               The goal of the initiative is to develop the political dimension of the European project by reinforcing citizens’ awareness that they share a common destiny. It would have the following effects: - To enhance the concept of European Citizenship; - To facilitate freedom of movement within the EU; In addition, it could contribute to remedying the loss of voting rights presently experienced by a significant number of EU citizens who are long-term residents of other Member States."
ACT 4 Growth,2013/000004,"This ECI has 4 concrete proposals for policy intervention to develop female entrepreneurship as a strategy for sustainable economic growth in Europe.
               
               1. Create an office of European Women's Business Ownership
               



                2. Appoint a Women’s Enterprise Director
                


                3. Collect data, produce annual policy and research updates
                


                4. Enforce current gender equality legislation
                


                These policies replicate those put in place in 1988 in USA who then doubled the number of female entrepreneurs and increased jobs created. The mandatory element of data collection and procurement policy had the greatest effect."
Teach for Youth -- Upgrade to Erasmus 2.0,2013/000005,"Eliminating educational inequity within the EU by enrolling highly motivated and high-achieving recent EU college graduates and postgraduates to teach for one to two years in urban and rural low-income communities throughout the EU.
               
               The objective is threefold:
               



                (1) Enabling recent college graduates and postgraduates to gain a real-life experience and the self-confidence that comes with it, thus making their later insertion on the job market easier;
                


                (2) Enabling EU pupils who do not have access to equitable educational opportunities, notably learning another official language of the EU, to do so;
                


                (3) Enabling those pupils who live in low-income areas to develop a real European sense of belonging – or affectio societatis – through contact between them and other EU citizens during their childhood and teenage hood."
DO NOT COUNT EDUCATION SPENDING AS PART OF THE DEFICIT! EDUCATION IS AN INVESTMENT!,2013/000006,"Our proposal is to exclude from the calculation of each country's public spending deficit, that part of Government spending for education that is lower than the last 5-year Eurozone average.
               
               1.Combat inequality by providing equal opportunities for education and training to all young people in Europe. 2.Ensure adequate and appropriate infrastructures and tools for high quality education in Europe in times of crisis. 3.Enhance and safeguard growth, development and democratic institutions; ensure the employability of younger generations through investment in education. 4. Support European policy Horizon 2020"
European Initiative for Media Pluralism,2013/000007,"Protecting media pluralism through partial harmonisation of national rules on media ownership and transparency, conflicts of interest with political office and independence of media supervisory bodies.
               
               We demand amendments to the Audiovisual Media Services Directive (or the endorsement of a new Directive) aiming at introducing harmonised rules with regard to the protection of media pluralism as necessary step towards the correct functioning of the internal market. Such legislation, in accordance with the EU Charter of Fundamental Rights, will also meet the public interest objective of maintaining a pluralist democratic debate through free exchange of ideas and information in the European Union"
Weed like to talk,2013/000008,"A European solution to a European issue : legalizing cannabis.
               
               The ECI Weed like to talk aims at making the EU adopt a common policy on the control and regulation of cannabis production, use and sale.
               
               There is currently a heterogeneous legal map as regards cannabis policies in the EU. The question of coherence and discrimination is worth asking.
               
               A common policy on the control and regulation of cannabis production, use and sale would:
               
               (a) ensure equality before the law and non-discrimination of all EU citizens;
               
               (b) protect consumers and monitor health security;
               
               (c) end cannabis trafficking.
               
               Let’s leap toward the legalization of cannabis and the harmonization of national legislations across the EU."
European Free Vaping Initiative,2013/000009,"Classification of electronic cigarettes and related products through legislation as general purpose recreational products, and not as medicinal, tobacco or similar products, regardless of nicotine content.
               
               Allow all vapers of Europe to keep on vaping, like vapers in member states where vaping is unregulated do, without inflicting any significant negative impact on the availability and diversity of vaping products. Allow all future vapers to experience the rich culture of vaping that we now enjoy in member states where vaping is not regulated. Allow affected manufacturers and vendors to stay in business, without being crippled or burdened with time and money consuming licensing procedures."
Turn me Off!,2014/000001,"Prohibit the practice of leaving the lights on in shops and offices when unoccupied.
               
               Through this initiative, we seek to:
               



                (1) save energy,
                


                (2) limit light pollution,
                


                (3) stop invasive advertising across the whole of the EU.
                


                Switching the light off when you are not there is common sense. And yet too many shops and offices have their lights on at night or on weekends when they are unoccupied. We would like this to stop.
                


                We are not trying to make our streets completely dark. We do believe in street lighting because it has a purpose - it keeps us safe. We simply want lighting that doesn't have one to disappear."
NEW DEAL 4 EUROPE - FOR A EUROPEAN SPECIAL PLAN FOR SUSTAINABLE DEVELOPMENT AND EMPLOYMENT,2014/000002,"A public investment plan to help Europe get out of the crisis through the  development of knowledge society and the creation of new jobs especially for youth.
               
               – a  EU special program of public investments for the production and financing of European public goods (renewable energy, research and innovation, infrastructural networks, ecological agriculture, protection of the environment and cultural heritage);
               



                – a special European Solidarity Fund to create new jobs especially for young people;
                


                – increasing the own resources of the European budget through a financial transactions tax and a carbon tax."
MOVEUROPE,2014/000003,"Creation of MOVEUROPE CARD. A card reducing transport and accommodation costs on the weekend of May 9th in order to celebrate the European Union in a European city (on an annual rotating basis).
               
               The objective is threefold: a) Enhancement of the European identity through a popular- based event. b) Promotion of the European mobility throughout the EU. c) Creation of new economic and social transnational networks promoting the event and gathering the Peoples of Europe . In addition to transport and accommodation, the card would facilitate the access to artistic attractions, performances, public European debates and other cultural events."
An end to front companies in order to secure a fairer Europe,2014/000004,"Introduction in a legal instrument in the company law area, of measures to ensure the transparency of legal persons and legal arrangements.
               
               The infiltration into the legitimate economy of financial flows from criminal sources threatens the stability of the financial sector and the internal market.  To counter this, it is essential that information is available on the actual beneficiaries of legal persons and legal arrangements.  The transparency of legal entities and legal arrangements must therefore be organised in a uniform manner across the EU in a legal instrument in the company law area."
For a socially fair Europe! Encouraging a stronger cooperation between EU Member States to fight poverty in Europe,2014/000005,"Encouraging cooperation between Member States in fighting social exclusion through the common aim of insuring that less than 3% of people live below the poverty line in the EU.
               
               We want the European Commission to be more assertive in forging a genuine 'social Europe' by proposing the following: encouraging  cooperation between EU member states  in fighting social exclusion through the common aim of insuring that less than 3% of people live below the poverty line in the EU. ( 16% is the current rate)"
« On The Wire »,2015/000001,"Strengthening communication privacy between private individuals by law and namely wiretapping of lawyer-client communications. A pre-requisite for the rights of defense.
               
               Developing a legislative framework governing communications between private individuals and identifying the right solution to protect the fundamental rights of defendants – to regulate lawyer-client wiretapping to strike a fair balance between the requirements of investigation and professional secrecy when using either direct or indirect wiretaps or drift net type wiretaps."
Fair Transport Europe – equal treatment for all transport workers,2015/000002,"Legislative and non-legislative proposals for ensuring fair competition and equal treatment of workers in the different transport modes.
               
               The objective of the “Fair Transport Europe” ECI is to end unacceptable business practices, which result in social and wage dumping practices.
               



                We call on the European Commission to ensure fair competition in the different transport modes and to guarantee equal treatment of workers (in respect of the principle of equal pay and working conditions), independently of the country of origin."
STOP PLASTIC IN THE SEA,2015/000003,"Given the worrying impact of plastic waste on the marine environment, we call on the Commission to develop even more ambitious rules on this waste, in order to avoid it getting into the sea.
               
               The European Union has yet to specifically address plastic waste, although it poses numerous environmental challenges. That is why we are calling for ambitious rules to be established in this area. The idea is to promote the use of biodegradable plastics as part of a circular economy and, following the waste hierarchy, to prevent the production of plastic waste at source and encourage recycling in order to eliminate dumping at sea. Exhaustive rules at the start of the process will protect the marine environment at a later stage."
Vi vill att WHO:s rekommendationer efterföljs. Cannabis ska bli avkriminaliserat med reglering.,2015/000004,"NOTICE:
               
               Text translated using eTranslation (the European Commission’s machine translation service) to provide content in all languages, even if machine translation may not always be 100% accurate.
               


               Cannabis is the most widely consumed drug. Half of all drug seizures worldwide are cannabis seizures, resources used for the judiciary should instead be used to improve the health of citizens.
               
               Cannabis shall be decriminalised and regulated for medical and recreational use within the Union. The medicinal potential of cannabis should be officially recognised and
               
               Legislation passed to allow medicinal cannabis types to be made available on prescription.
               

               Legal protection should be introduced in the EU to cap high medical costs,
               

               And this must also apply to cannabis, so that patients can afford the medicine they need.
               

               The ranking of CANNABIS is to be classified following the EU s"
Wake up Europe! Taking action to safeguard the European democratic project,2015/000005,"The legal act requested of the European Commission is to refer the situation in Hungary to the Council, in accordance with Article 7 TEU, in order to safeguard European values as defined in Article 2 TEU.
               
               Since taking power in 2010, Viktor Orbán's government has overseen an increase in antidemocratic, xenophobic measures that run counter to the founding principles of the rule of law. This is liable to undermine the EU project as defined in Article 2 TEU. In addition, the unacceptable treatment of migrants by the Hungarian authorities raises the fear that similar steps may be taken by other Member States where democratic culture is recent and fragile."
"Mum, Dad & Kids - European Citizens' Initiative to protect Marriage and Family",2015/000006,"A horizontally applicable regulation that defines the meaning of marriage and family for EU law: marriage is a union between a man and a woman, and family is based on marriage and/or descent.
               
               The increasing fragmentation of the concepts of ""family"" and ""marriage"" poses a problem for the EU. EU legislation refers to both terms, but the meaning is increasingly unclear, and there are diverging definitions in different EU Directives. This initiative proposes to remedy this situation by adopting a EU-wide definition of both terms that is compatible with the legislation of all Member States. In keeping with Art. 9 of the Fundamental Rights Charter it fully respects the competence of each Member State to legislate on marriage and family."
Let'sfly2Europe: Enable safe and legal access to Europe for refugees!,2016/000001,"Refugees should be granted an option for safe and legal entry into Europe
               
               Refugees are not allowed to enter a plane, because if the asylum application is rejected, the air carrier will be sanctioned because of the EU Directive 2001/51/EC and article 26, paragraph 2,3 of the Schengen acquis. These regulations are a painful measure against the access of foreigners seeking asylum, because the way to the EU is getting exacerbated/ made impossible, even though these humans are politically persecuted. We demand to revise both regulations."
People4Soil: sign the citizens' initiative to save the soils of Europe!,2016/000002,"Soil is one of the most strategic resources of Europe, as it ensures food security, biodiversity conservation and climate change regulation. It's time to protect the soils of Europe.
               
               Recognize soil as a shared heritage that needs EU level protection, as it provides essential benefits connected to human well-being and environmental resilience; develop a dedicated legally binding framework covering the main soil threats: erosion, sealing, organic matter decline, biodiversity loss and contamination; integrate soil related UN Sustainable Development Goals into EU policies; properly account and reduce greenhouse gases emissions from the farming and forestry sectors."
More than education - Shaping active and responsible citizens,2016/000003,"A set of incentive measures, including support and monitoring, to develop citizenship education in curricula on all levels of formal education throughout Europe, aimed at shaping democratic citizens.
               
               A democratic society relies on the citizens' participation, shared values and capability of critical thinking. The Commission should support member states in their responsibility to enable young people from all backgrounds to develop competencies for participating responsibly in society. To promote cohesion, action should be coordinated throughout the Union, by setting a long-term agenda, creating benchmarks, providing support to states, doing periodic evaluations and sharing best practice."
European Free Movement Instrument,2017/000001,"Guaranteeing European citizens free movement by a Universal Instrument
               
               For the better functioning of a free market, in the interest of the Union and in order to comply with the duty of care towards all its citizens, we beg the Commission to delineate a method by which all Europeans of good standing may be granted a signal & permanent instrument of their status and of their right to free movement throughout the Union by way of a unified document of laissez-passer as permitted by Article (4) of Council Regulation 1417/2013, or by another method"
Ban glyphosate and protect people and the environment from toxic pesticides,2017/000002,"We call on the European Commission to propose to member states a ban on glyphosate, to reform the pesticide approval procedure, and to set EU-wide mandatory reduction targets for pesticide use.
               
               Ban glyphosate-based herbicides, exposure to which has been linked to cancer in humans, and has led to ecosystems degradation; ensure that the scientific evaluation of pesticides for EU regulatory approval is based only on published studies, which are commissioned by competent public authorities instead of the pesticide industry; set EU-wide mandatory reduction targets for pesticide use, with a view to achieving a pesticide-free future."
EU Citizenship for Europeans: United in Diversity in Spite of jus soli and jus sanguinis,2017/000003,"The nature and purpose of Citizenship of the Union, particularly in relation to nationality. Withdrawal of Member State from the Union and its effects. Citizens’ Rights guaranteed by EU Law.
               
               Article 20 TFEU states “Citizenship of the Union shall be additional to and not replace national citizenship.” The CJEU has also asserted that “Citizenship of the Union is intended to be the fundamental status of nationals of the Member States” and that Article 20 TFEU precludes national measures that deprive citizens of the Union of the genuine enjoyment of the substance of rights conferred by status as citizens of the Union. Thus, facing Brexit, citizenship and nationality must be separated."
Minority SafePack – one million signatures for diversity in Europe,2017/000004,"We call upon the EU to improve the protection of persons belonging to national and linguistic minorities and strengthen cultural and linguistic diversity in the Union.
               
               We call upon the EU to adopt a set of legal acts to improve the protection of persons belonging to national and linguistic minorities and strengthen cultural and linguistic diversity in the Union. It shall include policy actions in the areas of regional and minority languages, education and culture, regional policy, participation, equality, audiovisual and other media content, and also regional (state) support."
Retaining European Citizenship,2017/000005,"Retaining European Citizenship as conferred under the Treaties.
               
               To uphold the right of Union citizens to move and reside freely within the territory of Member States under objective conditions of freedom and dignity (Directive 2004/38/EC), and to safeguard citizens of the Union from use as bargaining chips in negotiations under Article 50 TEU, requests the Commission submit a proposal to retain the rights of EU citizenship for all those who have already exercised their freedom of movement prior to the departure of a Member State leaving the Union, and for those nationals of a departing State who wish to retain their status as citizens of the Union."
Let us reduce the wage and economic differences that tear the EU apart!,2017/000006,"Legal acts that clearly demonstrate the EU’s intention to eliminate wage inequalities between Member States and which - to achieve this objective - allow for a more efficient cohesion of these states
               
               Due to significant wage differences the movement of workers is one-directional. Massive emigration leads to less-favored Member States falling even further behind. Meanwhile, richer Member States experience a massive influx of workers as an intrusion upon their interests, which tears the EU apart. The EU needs to clearly demonstrate its intention to eliminate wage inequalities affecting the free movement of workers in order for which the EU needs a more efficient cohesion to ensure its survival"
Stop Extremism,2017/000007,"We call on the European Commission to draft a bill to prevent and reduce the negative consequences of extremism, particularly on the Single Market.
               
               The proposed provisions under European Union Law should oblige the Member States to: 1) use positive motivation to identify and eliminate extremism within the Single Market; 2) use transparency to ensure that financial support of extremism is clearly visible to all citizens and companies; and 3) use employment law and compensatory damages to effectively combat extremism within the Single Market."
STOP TTIP,2017/000008,"We invite the European Commission to recommend to the Council to repeal the negotiating mandate for the Transatlantic Trade and Investment Partnership (TTIP) and not to conclude the Comprehensive Economic and Trade Agreement (CETA).
               
               We want to prevent TTIP and CETA because they include several critical issues such as investor-state dispute settlement and rules on regulatory cooperation that pose a threat to democracy and the rule of law. We want to prevent employment, social, environmental, privacy and consumer standards from being lowered and public services (such as water) and cultural assets from being deregulated in non-transparent negotiations. The ECI supports an alternative trade and investment policy in the EU."
"We are a welcoming Europe, let us help!",2018/000001,"Governments are struggling to handle migration. Most of us want to help people in need because we care. Millions have stood up to help. Now we want to be heard. Let’s reclaim a Welcoming Europe! We call upon the European Commission to act:
               
               1. Citizens across Europe want to sponsor refugees to offer them a safe home and a new life. We want the Commission to offer direct support to local groups that help refugees who are granted national visas.
               



                2. No one should be prosecuted or fined for offering humanitarian help or shelter. We want the Commission to stop those governments that are punishing volunteers.
                


                3. Everyone has the right to justice. We want the Commission to guarantee more effective ways and rules to defend all victims of labour exploitation and crime across Europe and all victims of human rights abuses at our borders."
Stop starvation for 8% of the European population!,2018/000002,"Access to food is part of the Universal Declaration of Human Rights. European Union was the second largest GDP worldwide in 2016 but still starvation is part of our environment.
               
               This initiative has for objective to prompt governments to embrace the hunger problem which is still a major concern.
               



                European citizens who are suffering from food scarcity is estimated at 46 million (8% of total EU pop.) and this number is not decreasing.
                


                The initiative will not only emphasize the responsibility of governments to eradicate the problem but will also highlight cost impact related to hunger and propose a list of actions that will significantly reduce this heresy."
Permanent European Union Citizenship,2018/000003,"European Union Citizenship
               
               EU citizens elect the European Parliament and participate in its work, thus exercising treaty rights, enhancing Union democracy, and reinforcing its citizenship. Noting the ECJ’s view of Union citizenship as a ‘fundamental status’ of nationals of Member States, and that Brexit will strip millions of EU citizens of this status and their vote in European elections, requests the Commission propose means to avoid risk of collective loss of EU citizenship and rights, and assure all EU citizens that, once attained, such status is permanent and their rights acquired."
End the Cage Age,2018/000004,"Hundreds of millions of EU farm animals are kept in cages for most of their lives, causing great suffering. We call on the European Commission to end this inhumane treatment of farm animals.
               
               Cages inflict suffering on enormous numbers of farm animals every year. They are cruel and unnecessary, as higher-welfare cage-free systems are viable.
               



                The Commission is therefore invited to propose legislation to prohibit the use of:
                


                •            cages for laying hens, rabbits, pullets, broiler breeders, layer breeders, quail, ducks and geese;
                


                •            farrowing crates for sows;
                


                •            sow stalls, where not already prohibited
                


                •            individual calf pens, where not already prohibited"
"STOP FRAUD and abuse of EU FUNDS - by better control of decisions, implementation and penalties",2018/000005,"European Institutions should be entitled to apply enhanced (including ex-ante) control and stricter sanctions in those Member States of the EU which are not members of the European Prosecutor’s Office.
               
               To prevent and penalise fraud and abuse of EU funds the European Institutions should be entitled to apply enhanced control in Member States which are not part of the European Prosecutor’s Office cooperation. This would include ex-ante control of funding and procurement decisions in risky areas. We propose that such deepened control should cover complete exploration of all circumstances and also publication of fraudulent activities and other offences harming the financial interests of the EU."
Eat ORIGINal! Unmask your food,2018/000006,"We call on the European Commission to impose mandatory declaration of origin for all food products in order to prevent frauds, protect public health and guarantee consumers’ right to information
               
               1. Make the indication of the country of origin mandatory for all processed and unprocessed foods circulating in EU, with no derogation for registered trademarks and geographical indications.
               



                2. With regard to processed foods, origin labelling is made mandatory for primary ingredients when different from the origin of the final product.
                


                3. Improve consistency of the labels including harmonized informations about production and processing methods in order to ensure transparency throughout the food chain."
Mandatory food labelling Non-Vegetarian / Vegetarian / Vegan,2018/000007,"Food labelling for vegetarians / vegans
               
               Vegetarians & vegans struggle across the EU to identify suitable food. We must study the ingredients list of a food product to determine if it is fit for purchase with a hyper-awareness of ambiguous ingredients that could either be plant or animal based. Complicating this further is the fact that the EU does not have a unified language. We then propose laws mandating 1 of 3 simple pictorial labels on all food products: Non-Vegetarian, Vegetarian, or Vegan with all food labelling."
Let's demand smarter vaping regulation!,2019/000001,"We call on the EU Commission to repeal Article 20 of Directive 2014/40/EU and create bespoke legislation which clearly sets vaping products apart from tobacco & pharmaceutical products.
               
               Remove Article 20 of Directive 2014/40/EU and replace with bespoke scientific, evidence-based legislation in line with the functioning of the internal market that distinguishes vaping products from tobacco & pharmaceutical products;
               



                Ensure new legislation based on mandatory compliance with robust product quality, safety & manufacturing standards, together with responsible marketing practices that ensure youth protection;
                


                Vaping policy should foster innovation and ensure smokers and vapers have clear information and access to tobacco-free less harmful alternatives."
Europe CARES - Inclusive Quality Education for Children with Disabilities,2019/000002,"The right to inclusive education of children and adults with disabilities within the European Union
               
               Over 70 million EU citizens have a disability and 15 million children have special educational needs. Children and adults with disabilities are facing excessive barriers in exercising their right to quality inclusive education. Many are placed in segregated institutions and those in mainstream educational settings often receive inadequate support.
               



                We call on the EC to draft a bill on a common EU framework of inclusive education, which will ensure that no child is left behind when it comes to early intervention services, education and transition towards the labor market."
Housing for All,2019/000003,"The purpose of this European Citizens' Initiative is to bring about better legal and financial framework conditions to facilitate access to housing for everyone in Europe.
               
               We urge the EU to take action to facilitate access to housing for everyone in Europe. This includes easier access for all to social and affordable housing, not applying the Maastricht criteria to public investment in social and affordable housing, better access to EU funding for non-profit and sustainable housing developers, social, competition-based rules for short-term rentals and the compilation of statistics on housing needs in Europe."
#NewRightsNow - Strengthening the rights of ‘uberised’ workers,2019/000004,"Strengthening the rights of ‘uberised’ workers, in particular by obliging digital platforms to pay a guaranteed minimum income to ‘self-employed’ people who regularly work for them.
               
               We would like to establish an obligation for digital platforms to pay a guaranteed minimum income to ‘self-employed’ people who regularly work for them. This social justice measure would safeguard and stabilise their income, and would specifically tackle job insecurity.
               



                More generally, we wish to strengthen the social rights of ‘uberised’ workers."
Respect for the rule of law within the European Union,2019/000005,"Creation of an objective and impartial evaluation mechanism to verify the application of the European
               



                Union’s values by all the Member States.
                
                (a) Provide the European Union with general legislation making it possible to verify in an objective
                


                manner the practical application of national provisions relating to the rule of law in order to strengthen
                


                mutual trust between the Member States and to facilitate the implementation of the provisions of
                


                Article 7 TEU concerning possible breaches of the Union’s values.
                


                (b) Facilitate the enforcement of European laws on judicial cooperation in criminal matters (e.g. the
                


                European Arrest Warrant)."
"The fast, fair and effective solution to climate change.",2019/000006,"Scientists and economists agree: Putting an increasing price on pollution and giving the returns to households - works.
               
               A steadily increasing price on fossil fuels will reduce pollution. It leads companies and consumers to choose cleaner, cheaper options. All the money collected is returned fairly every month to citizens as a dividend. Most low and middle income families will be better off. A border adjustment protects our economy and drives global adoption. Other benefits include: cleaner air; more jobs and reduced government spending due to policy alignment."
