Registration_Number,Title,Year,Current_Status,Final_Outcome,Policy_Area,Signatures,Countries_Met_Threshold,Funding_EUR,Collection_Duration_Days,Registration_to_Collection_Days,Time_to_Commission_Response_Days,Reached_1M_Signatures,Met_Country_Threshold_7plus,Successful_ECI,Commission_Responded
2014/000002,NEW DEAL 4 EUROPE - FOR A EUROPEAN SPECIAL PLAN FOR SUSTAINABLE DEVELOPMENT AND EMPLOYMENT,2014,Withdrawn,Withdrawn,Environment,,,2000.0,,0.0,,False,False,False,False
2014/000003,MOVEUROPE,2014,Withdrawn,Withdrawn,Economy & Finance,,,,,0.0,,False,False,False,False
2014/000004,An end to front companies in order to secure a fairer Europe,2014,Unsuccessful collection,Unsuccessful Collection,Economy & Finance,,,,365.0,0.0,,False,False,False,False
2014/000005,For a socially fair Europe! Encouraging a stronger cooperation between EU Member States to fight poverty in Europe,2014,Unsuccessful collection,Unsuccessful Collection,Social Policy,,,,365.0,0.0,,False,False,False,False
2015/000001,« On The Wire »,2015,Withdrawn,Withdrawn,Rights & Democracy,,,,,0.0,,False,False,False,False
2015/000002,Fair Transport Europe – equal treatment for all transport workers,2015,Unsuccessful collection,Unsuccessful Collection,Social Policy,,,322000.0,366.0,0.0,,False,False,False,False
2015/000003,STOP PLASTIC IN THE SEA,2015,Unsuccessful collection,Unsuccessful Collection,Environment,,,5000.0,366.0,0.0,,False,False,False,False
2015/000004,Vi vill att WHO:s rekommendationer efterföljs. Cannabis ska bli avkriminaliserat med reglering.,2015,Withdrawn,Withdrawn,Health,,,,,0.0,,False,False,False,False
2015/000005,Wake up Europe! Taking action to safeguard the European democratic project,2015,Withdrawn,Withdrawn,Education & Culture,,,,,0.0,,False,False,False,False
2015/000006,"Mum, Dad & Kids - European Citizens' Initiative to protect Marriage and Family",2015,Unsuccessful collection,Unsuccessful Collection,Rights & Democracy,,,,366.0,0.0,,False,False,False,False
2016/000001,Let'sfly2Europe: Enable safe and legal access to Europe for refugees!,2016,Withdrawn,Withdrawn,Education & Culture,,,,,0.0,,False,False,False,False
2016/000002,People4Soil: sign the citizens' initiative to save the soils of Europe!,2016,Unsuccessful collection,Unsuccessful Collection,Environment,,,100000.0,365.0,0.0,,False,False,False,False
2016/000003,More than education - Shaping active and responsible citizens,2016,Unsuccessful collection,Unsuccessful Collection,Rights & Democracy,,,,365.0,0.0,,False,False,False,False
2017/000001,European Free Movement Instrument,2017,Unsuccessful collection,Unsuccessful Collection,Education & Culture,,,,365.0,0.0,,False,False,False,False
2017/000002,Ban glyphosate and protect people and the environment from toxic pesticides,2017,Answered initiative,Commission Response,Environment,1070865.0,11.0,328399.0,158.0,0.0,321.0,True,True,True,True
2017/000003,EU Citizenship for Europeans: United in Diversity in Spite of jus soli and jus sanguinis,2017,Unsuccessful collection,Unsuccessful Collection,Environment,,,,365.0,0.0,,False,False,False,False
2017/000004,Minority SafePack – one million signatures for diversity in Europe,2017,Answered initiative,Commission Response,Environment,1123422.0,10.0,348500.0,365.0,0.0,1382.0,True,True,True,True
2017/000005,Retaining European Citizenship,2017,Unsuccessful collection,Unsuccessful Collection,Rights & Democracy,,,2808.0,365.0,0.0,,False,False,False,False
2017/000006,Let us reduce the wage and economic differences that tear the EU apart!,2017,Unsuccessful collection,Unsuccessful Collection,Animal Welfare,,,,365.0,0.0,,False,False,False,False
2017/000007,Stop Extremism,2017,"Verification
                  
                   *",,Economy & Finance,1068793.0,7.0,241989.0,365.0,0.0,,True,True,True,False
2017/000008,STOP TTIP,2017,Withdrawn,Withdrawn,Environment,,,32225.0,,0.0,,False,False,False,False
2018/000001,"We are a welcoming Europe, let us help!",2018,Unsuccessful collection,Unsuccessful Collection,Rights & Democracy,,,60000.0,365.0,0.0,,False,False,False,False
2018/000002,Stop starvation for 8% of the European population!,2018,Unsuccessful collection,Unsuccessful Collection,Environment,,,,365.0,0.0,,False,False,False,False
2018/000003,Permanent European Union Citizenship,2018,Unsuccessful collection,Unsuccessful Collection,Rights & Democracy,,,,365.0,0.0,,False,False,False,False
2018/000004,End the Cage Age,2018,Answered initiative,Commission Response,Animal Welfare,1397113.0,18.0,392000.0,365.0,0.0,1023.0,True,True,True,True
2018/000005,"STOP FRAUD and abuse of EU FUNDS - by better control of decisions, implementation and penalties",2018,Unsuccessful collection,Unsuccessful Collection,Economy & Finance,,,,365.0,0.0,,False,False,False,False
2018/000006,Eat ORIGINal! Unmask your food,2018,Unsuccessful collection,Unsuccessful Collection,Health,,,20000.0,365.0,0.0,,False,False,False,False
2018/000007,Mandatory food labelling Non-Vegetarian / Vegetarian / Vegan,2018,Unsuccessful collection,Unsuccessful Collection,Animal Welfare,,,,365.0,0.0,,False,False,False,False
2019/000001,Let's demand smarter vaping regulation!,2019,Unsuccessful collection,Unsuccessful Collection,Education & Culture,,,35200.0,365.0,0.0,,False,False,False,False
2019/000002,Europe CARES - Inclusive Quality Education for Children with Disabilities,2019,Unsuccessful collection,Unsuccessful Collection,Education & Culture,,,,366.0,0.0,,False,False,False,False
2019/000003,Housing for All,2019,Withdrawn,Withdrawn,Economy & Finance,,,51400.0,,0.0,,False,False,False,False
2019/000004,#NewRightsNow - Strengthening the rights of ‘uberised’ workers,2019,Unsuccessful collection,Unsuccessful Collection,Rights & Democracy,,,,549.0,0.0,,False,False,False,False
2019/000005,Respect for the rule of law within the European Union,2019,Unsuccessful collection,Unsuccessful Collection,Education & Culture,,,,549.0,0.0,,False,False,False,False
2019/000006,"The fast, fair and effective solution to climate change.",2019,Unsuccessful collection,Unsuccessful Collection,Environment,,,,731.0,0.0,,False,False,False,False
2019/000007,Cohesion policy for the equality of the regions and sustainability of the regional cultures,2019,Answered initiative,Commission Response,Environment,1269351.0,8.0,11933.0,731.0,0.0,2311.0,True,True,True,True
2019/000008,PRO-NUTRISCORE,2019,Withdrawn,Withdrawn,Health,,,,,0.0,,False,False,False,False
2019/000009,Ending the aviation fuel tax exemption in Europe,2019,Unsuccessful collection,Unsuccessful Collection,Environment,75301.0,0.0,,731.0,0.0,,False,False,False,False
2019/000010,Save the bees! Protection of biodiversity and improvement of habitats for insects in Europe,2019,Withdrawn,Withdrawn,Environment,,,,,0.0,,False,False,False,False
2019/000011,A price for carbon to fight climate change,2019,Unsuccessful collection,Unsuccessful Collection,Environment,61047.0,0.0,2900.0,731.0,0.0,,False,False,False,False
2019/000012,Grow scientific progress: crops matter!,2019,Unsuccessful collection,Unsuccessful Collection,Environment,9833.0,0.0,,731.0,0.0,,False,False,False,False
2019/000013,Mettons fin à l'ère du plastique en Europe (Let’s put an end to the era of plastic in Europe),2019,Withdrawn,Withdrawn,Environment,,,,,0.0,,False,False,False,False
2019/000014,"Stop corruption in Europe at its root, by cutting off funds to countries with inefficient judiciary after deadline.",2019,Unsuccessful collection,Unsuccessful Collection,Other,20751.0,1.0,,731.0,0.0,,False,False,False,False
2019/000015,Actions on Climate Emergency,2019,Unsuccessful collection,Unsuccessful Collection,Environment,,,,731.0,0.0,,False,False,False,False
2019/000016,Save bees and farmers ! Towards a bee-friendly agriculture for a healthy environment,2019,Answered initiative,Commission Response,Environment,1054973.0,11.0,282858.84,731.0,0.0,1283.0,True,True,True,True
2020/000001,Stop Finning – Stop the trade,2020,Answered initiative,Commission Response,Environment,1119996.0,15.0,17360.0,731.0,29.0,1280.0,True,True,True,True
2020/000002,"VOTERS WITHOUT BORDERS, Full Political Rights for EU Citizens",2020,Unsuccessful collection,Unsuccessful Collection,Rights & Democracy,8780.0,0.0,79676.0,649.0,180.0,,False,False,False,False
2020/000003,Start Unconditional Basic Incomes (UBI) throughout the EU,2020,Unsuccessful collection,Unsuccessful Collection,Rights & Democracy,296365.0,4.0,13000.0,638.0,133.0,,False,False,False,False
2020/000004,Freedom to share,2020,Withdrawn,Withdrawn,Rights & Democracy,2248.0,0.0,19100.0,,184.0,,False,False,False,False
2020/000005,Right to Cure,2020,Unsuccessful collection,Unsuccessful Collection,Health,261799.0,4.0,36516.0,609.0,101.0,,False,False,False,False
2021/000001,Civil society initiative for a ban on biometric mass surveillance practices,2021,Unsuccessful collection,Unsuccessful Collection,Rights & Democracy,78092.0,0.0,46786.0,530.0,41.0,,False,False,False,False
2021/000002,Civil Servant Exchange Program (CSEP),2021,Unsuccessful collection,Unsuccessful Collection,Rights & Democracy,1643.0,0.0,,365.0,166.0,,False,False,False,False
2021/000003,Green Garden Roof Tops,2021,Unsuccessful collection,Unsuccessful Collection,Environment,3197.0,0.0,,432.0,35.0,,False,False,False,False
2021/000004,Ban Fossil Fuel Advertising and Sponsorships,2021,Unsuccessful collection,Unsuccessful Collection,Environment,279280.0,5.0,166357.16,365.0,110.0,,False,False,False,False
2021/000005,European EcoScore,2021,Unsuccessful collection,Unsuccessful Collection,Environment,7722.0,0.0,1000.0,365.0,23.0,,False,False,False,False
2021/000006,SAVE CRUELTY FREE COSMETICS - COMMIT TO A EUROPE WITHOUT ANIMAL TESTING,2021,Answered initiative,Commission Response,Environment,1217916.0,21.0,2160614.83,365.0,62.0,755.0,True,True,True,True
2021/000007,ReturnthePlastics: A Citizen’s Initiative to implement an EU-wide deposit-system to recycle plastic bottles,2021,Unsuccessful collection,Unsuccessful Collection,Economy & Finance,5961.0,0.0,,365.0,98.0,,False,False,False,False
2021/000008,Ensuring Common Commercial Policy conformity with EU Treaties and compliance with international law,2021,Unsuccessful collection,Unsuccessful Collection,Environment,277717.0,4.0,86827.0,365.0,165.0,,False,False,False,False
2021/000009,Stop (((5G))) - Stay Connected but Protected,2021,Unsuccessful collection,Unsuccessful Collection,Environment,83159.0,0.0,9280.0,365.0,145.0,,False,False,False,False
2021/000010,Call to Action – Environmental protection in all policies,2021,Unsuccessful collection,Unsuccessful Collection,Environment,2498.0,0.0,,365.0,41.0,,False,False,False,False
2021/000011,Green VAT - An EU Green VAT to stimulate sustainable and eco-friendly products and services,2021,Unsuccessful collection,Unsuccessful Collection,Environment,4379.0,0.0,,365.0,57.0,,False,False,False,False
2022/000001,Win It On The Pitch,2022,Unsuccessful collection,Unsuccessful Collection,Environment,3594.0,0.0,,365.0,39.0,,False,False,False,False
2022/000002,Fur Free Europe,2022,Answered initiative,Commission Response,Environment,1502319.0,18.0,1904595.0,287.0,63.0,631.0,True,True,True,True
2022/000003,End The Slaughter Age,2022,Unsuccessful collection,Unsuccessful Collection,Environment,867946.0,9.0,565201.83,366.0,39.0,,False,True,False,False
2022/000004,"Good Clothes, Fair Pay",2022,Unsuccessful collection,Unsuccessful Collection,Rights & Democracy,216100.0,2.0,730516.0,365.0,48.0,,False,False,False,False
2022/000005,CALL TO ACHIEVE A TOBACCO-FREE ENVIRONMENT AND THE FIRST EUROPEAN TOBACCO-FREE GENERATION BY 2030,2022,Withdrawn,Withdrawn,Environment,22605.0,0.0,22669.69,,145.0,,False,False,False,False
2022/000006,Every European house equipped with 1 kw photovoltaic and 0.6 kw wind turbines using EU funding through the municipalities alone.,2022,Withdrawn,Withdrawn,Environment,1676.0,0.0,3000.0,,23.0,,False,False,False,False
2022/000007,"Protect the EU’s Rural Heritage, Food Security and Supply",2022,Unsuccessful collection,Unsuccessful Collection,Education & Culture,21410.0,0.0,200000.0,366.0,56.0,,False,False,False,False
2022/000008,Focus on Specific Learning Disabilities on EU Level,2022,Unsuccessful collection,Unsuccessful Collection,Education & Culture,1327.0,0.0,,366.0,29.0,,False,False,False,False
2022/000009,European Citizens’ Initiative for VEGAN MEAL,2022,Unsuccessful collection,Unsuccessful Collection,Environment,8003.0,0.0,500.0,366.0,169.0,,False,False,False,False
2022/000010,"European Day of ""Whatever it Takes""",2022,Unsuccessful collection,Unsuccessful Collection,Other,254.0,0.0,,366.0,149.0,,False,False,False,False
2023/000001,Article 4: Stop torture and inhuman treatment at Europe’s borders,2023,Unsuccessful collection,Unsuccessful Collection,Rights & Democracy,25124.0,0.0,3300.0,366.0,179.0,,False,False,False,False
2023/000002,Ensuring a dignified reception of migrants in Europe,2023,Unsuccessful collection,Unsuccessful Collection,Rights & Democracy,15364.0,0.0,50000.0,366.0,51.0,,False,False,False,False
2023/000003,End The Horse Slaughter Age,2023,Withdrawn,Withdrawn,Animal Welfare,15154.0,0.0,,,183.0,,False,False,False,False
2023/000004,Connecting all European capitals and people through a high-speed train network,2023,Unsuccessful collection,Unsuccessful Collection,Transport,40682.0,0.0,,367.0,42.0,,False,False,False,False
2023/000005,Effective implementation of the concept of judicial precedent in EU countries,2023,Withdrawn,Withdrawn,Animal Welfare,291.0,0.0,3000.0,,170.0,,False,False,False,False
2023/000006,Taxing great wealth to finance the ecological and social transition.,2023,Unsuccessful collection,Unsuccessful Collection,Environment,357155.0,3.0,166576.0,366.0,90.0,,False,False,False,False
2023/000007,"Preservation and development of Ukrainian culture, education, language, and traditions in EU states",2023,Unsuccessful collection,Unsuccessful Collection,Education & Culture,1095.0,0.0,,366.0,181.0,,False,False,False,False
2023/000008,EU Live Bus Stop Info,2023,Unsuccessful collection,Unsuccessful Collection,Environment,3746.0,0.0,,365.0,170.0,,False,False,False,False
2023/000009,Trust and Freedom,2023,Unsuccessful collection,Unsuccessful Collection,Rights & Democracy,22471.0,0.0,,366.0,20.0,,False,False,False,False
2023/000010,'I'm Going European':  An ECI to Connect your National and European Citizenship,2023,Withdrawn,Withdrawn,Rights & Democracy,,,,,,,False,False,False,False
2023/000011,Creation of a European Environment Authority,2023,Unsuccessful collection,Unsuccessful Collection,Environment,14764.0,0.0,20119.0,366.0,63.0,,False,False,False,False
2024/000001,Ban on conversion practices in the European Union,2024,Verification,,Environment,1245839.0,11.0,,365.0,114.0,,True,True,True,False
2024/000002,European Citizens' Initiative in Defence of Agriculture and Rural Economy in Europe,2024,Unsuccessful collection,Unsuccessful Collection,Environment,4432.0,0.0,,365.0,181.0,,False,False,False,False
2024/000003,EUROPEAN CANNABIS INITIATIVE,2024,Withdrawn,Withdrawn,Health,,,,,,,False,False,False,False
2024/000004,"My Voice, My Choice: For Safe And Accessible Abortion",2024,Valid initiative,,Economy & Finance,1124513.0,18.0,923028.42,365.0,14.0,,True,True,True,False
2024/000005,Save the Planet by shifting taxation from labour to greenhouse gas emissions,2024,Withdrawn,Withdrawn,Environment,,,,,,,False,False,False,False
2024/000006,Air-Quotas,2024,Collection ongoing,,Environment,6123.0,0.0,6252.0,,,,False,False,False,False
2024/000007,Stop Destroying Videogames,2024,Verification,,Rights & Democracy,1448270.0,24.0,,365.0,42.0,,True,True,True,False
2024/000008,Stop Cruelty Stop Slaughter,2024,Collection ongoing,,Animal Welfare,1281772.0,9.0,,,,,True,True,True,False
2024/000009,STOP FAKE FOOD: ORIGIN ON LABEL,2024,Collection ongoing,,Environment,857535.0,1.0,20000.0,,,,False,False,False,False
2024/000010,ECI for a Water-Smart and Resilient Europe,2024,Collection ongoing,,Environment,4189.0,0.0,,,,,False,False,False,False
2024/000011,PsychedeliCare,2024,Collection ongoing,,Health,36347.0,0.0,45500.0,,,,False,False,False,False
2025/000001,HouseEurope! Power to Renovation,2025,Collection ongoing,,Environment,40890.0,0.0,185000.0,,,,False,False,False,False
2025/000002,"Food is a Human Right for All! Guaranteeing healthy, just and sustainable food systems",2025,Registered,,Environment,,,51076.32,,,,False,False,False,False
2025/000003,"Save your right, save your flight!",2025,Collection ongoing,,Environment,2754.0,0.0,,,,,False,False,False,False
